Id,AgeGrp,Gender,DGI,IGI,GD,Game_titles,Action_adventure,MOBA,Other,Shooters,Card_games,Strategy,RPG,Sport_games,Simulation,Puzzle,MMORPG,Driving,Battle_royale,Survival_horror,Platform,Fighting,GMI_Advancement,GMI_Amotivation,GMI_Autonomy,GMI_Boredom,GMI_Competence,GMI_Competition,GMI_Completion,GMI_Coping,GMI_Escape,GMI_Exploration_Mechanics,GMI_Fantasy,GMI_Financial,GMI_Gameskills,GMI_Identity,GMI_Introjected_regulation,GMI_Recreation,GMI_Skill_development,GMI_Social,GMI_Status,GMI_Arousal_action,GMI_Cooperation,GMI_Customization,GMI_Destruction,GMI_Graphics,GMI_Story,GMI_Strategy,GMI_MasteryHO,GMI_ImmersionHO,GMI_CompetitionHO,GMI_StimulationHO,GMI_SocialHO,GMI_HabitBoredomHO
44620886,1,2,20,64,5,Batman: Arkham Knight - 20h,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,27,18,10,9,9,18,27,25,25,3,22,27,10,21,19,9,5,28,9,12,21,21,21,13,17.13,20.57,7.71,23.33,10.33,10.50
45228930,4,2,11,14,12,"Big farm mobile harvest - 5h, coin master- 14 h",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,18,12,15,10,18,12,11,21,22,15,3,20,14,15,17,15,20,9,25,19,19,15,14,16,16,16.13,14.00,10.14,18.00,18.33,16.50
44574576,1,1,14,79,4,"brawl stars-6h , the sims-2h",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,5,14,9,9,7,4,7,10,9,7,3,9,13,8,14,9,10,9,18,13,14,15,15,12,15,10.25,9.71,5.57,16.00,12.67,7.00
44680508,4,1,7,0,6,"Brick ball, candy crush",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,8,3,3,3,3,10,4,12,4,3,4,5,3,14,9,4,3,9,5,6,3,7,7,20,8.38,5.29,2.57,6.33,9.67,3.00
44576267,3,2,7,35,7,call of duty,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,7,19,10,8,15,14,17,18,17,21,3,19,15,7,18,18,17,9,17,12,12,6,14,13,12,15.38,15.00,9.00,12.33,13.67,8.50
45116196,3,2,4,10,4,Call of Duty 2 - 2 h,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,9,2,3,3,3,3,7,4,4,4,3,4,5,3,15,12,4,3,6,3,3,3,9,16,6,5.25,4.00,1.71,6.00,4.33,6.00
45163840,2,1,15,73,7,call of duty 5h sims 3h lost of ark 10h cs 4h,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,9,13,4,13,13,7,8,16,26,19,15,6,18,13,6,16,23,12,10,23,12,18,6,17,16,14,14.13,13.29,8.71,15.33,12.67,13.00
44955652,4,1,32,0,5,candy -10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,4,6,9,3,7,3,9,17,4,8,3,4,8,3,18,4,4,3,4,3,3,3,5,5,11,6.00,7.71,2.71,4.00,6.00,6.50
44925139,4,1,7,35,5,Candy crush,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,10,2,13,10,8,6,7,15,19,10,3,11,9,3,15,21,4,3,16,10,6,3,9,12,6,11.00,8.00,6.29,9.33,6.67,11.50
44766499,3,1,9,37,8,Candy crush,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,9,17,6,5,12,9,11,13,12,5,3,10,8,3,14,17,5,5,8,3,5,4,11,10,9,11.38,8.86,6.00,7.67,5.67,7.50
44693491,4,1,16,7,4,Candy crush saga,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,11,16,5,6,5,11,14,7,6,3,6,8,3,17,7,5,3,7,3,4,3,3,3,4,6.50,8.29,3.86,4.33,4.00,9.00
44692410,1,2,9,9,4,clash royale - 2h,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,9,11,16,5,9,5,10,8,10,6,3,12,7,3,18,13,9,3,21,13,8,6,17,17,18,10.38,7.14,4.00,14.67,13.33,12.50
44617815,3,1,12,26,10,Coin master,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,20,18,14,16,15,13,17,17,20,17,20,24,13,14,18,17,13,20,15,16,16,16,15,18,17.50,17.29,11.29,17.33,16.67,15.50
44953480,1,1,9,14,4,coin masters - 10h,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,14,3,3,3,8,11,5,5,3,5,5,3,13,4,4,3,4,3,3,3,15,12,9,5.13,6.29,1.29,7.33,5.33,12.00
44626439,2,2,7,35,5,Counter strike global offensive - 10h,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,18,15,9,19,10,13,18,14,20,3,16,17,7,19,18,7,7,17,17,7,16,7,10,18,14.50,14.57,9.43,13.33,14.00,8.50
44644065,1,2,0,7,8,Counter Strike: Global Offensive - 20h,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,2,28,7,11,13,19,13,14,24,11,4,25,16,3,14,25,18,11,25,16,12,10,20,19,17,21.38,13.71,9.86,18.33,17.00,4.50
44659582,4,2,4,4,4,days gone -3h,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,14,5,11,5,15,11,8,15,17,3,15,17,4,18,18,5,6,13,3,14,9,15,12,7,14.00,11.71,6.71,12.33,5.00,4.00
45494317,4,2,23,0,5,"dead space 1, 2, 3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,16,8,12,12,12,12,12,16,16,16,12,16,20,12,12,16,16,12,25,12,19,17,21,20,18,14.63,13.71,8.57,21.00,15.33,14.00
44687266,4,1,15,6,6,"Diablo ,It take two ,sonic",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,15,2,5,18,10,14,8,19,16,4,10,3,8,5,3,21,8,15,3,23,18,14,3,18,21,13,9.38,9.71,3.57,14.67,15.33,10.00
44562817,2,1,27,23,9,"Diablo Immortal - 20h, Cod - 1h",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,4,15,9,11,8,6,12,18,10,15,3,9,14,5,17,8,14,7,16,9,12,6,13,13,8,9.88,12.86,5.00,11.67,10.33,6.50
45247171,2,1,7,0,4,"Diggy's Adventure - 3h, Trainstation - 5h",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13,15,6,15,10,9,11,8,14,13,13,3,14,8,4,15,14,4,5,19,3,13,11,14,15,12,12.00,9.00,5.86,14.67,6.33,15.00
45162990,4,1,16,115,11,doda,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,8,6,21,20,21,14,15,28,28,3,28,35,15,17,28,28,21,28,21,21,21,21,21,21,22.00,19.43,16.00,23.33,23.33,17.00
44685775,4,2,9,14,14,Dragon City 15 godzin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,9,14,11,12,10,10,11,17,12,12,10,15,15,11,13,15,14,9,13,14,12,9,10,13,17,13.38,13.14,8.43,10.67,15.00,10.00
45405854,4,2,16,107,11,F1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,18,4,13,16,17,17,17,21,20,20,8,20,20,10,16,20,21,14,23,16,17,10,15,17,17,16.63,15.43,11.43,16.00,18.00,15.50
